timestamp,temperature,humidity,co2,vibration,energy_usage,temp_status,hum_status,co2_status,vib_status,energy_status
2025-04-22 13:33:08,34,47,899,7.8,842,red,green,yellow,yellow,yellow
2025-04-22 13:33:09,29,65,513,3.9,765,yellow,green,green,green,green
2025-04-22 13:33:10,34,48,670,8.6,1009,red,green,green,red,red
2025-04-22 13:33:11,27,56,769,7.1,773,green,green,yellow,yellow,green
2025-04-22 13:33:12,24,46,857,2,1199,green,green,yellow,green,red
2025-04-22 13:33:13,30,52,627,1.2,790,yellow,green,green,green,green
2025-04-22 13:33:14,32,60,753,8.1,457,red,green,yellow,red,green
2025-04-22 13:33:15,22,31,919,5.8,794,green,red,yellow,yellow,green
2025-04-22 13:33:16,32,39,1187,6.5,460,red,yellow,red,yellow,green
2025-04-22 13:33:17,32,37,515,3.6,307,red,yellow,green,green,green
2025-04-22 13:33:18,27,43,597,3.9,1057,green,yellow,green,green,red
2025-04-22 13:33:19,25,65,517,9.1,533,green,green,green,red,green
2025-04-22 13:33:20,33,42,880,6,714,red,yellow,yellow,yellow,green
2025-04-22 13:33:21,24,32,1144,6.3,606,green,red,red,yellow,green
2025-04-22 13:33:22,22,50,321,9.2,446,green,green,green,red,green
2025-04-22 13:33:23,22,58,638,3.9,674,green,green,green,green,green
2025-04-22 13:33:24,22,34,311,5.8,428,green,red,green,yellow,green
2025-04-22 13:33:25,25,43,1135,3.5,523,green,yellow,red,green,green
2025-04-22 13:33:26,31,51,1261,1.6,530,red,green,red,green,green
2025-04-22 13:33:27,29,36,980,9.4,804,yellow,yellow,yellow,red,yellow
2025-04-22 13:33:28,22,38,1059,0,866,green,yellow,red,green,yellow
2025-04-22 13:33:29,26,68,1291,5.2,639,green,green,red,yellow,green
2025-04-22 13:33:30,22,50,1152,0.6,956,green,green,red,green,yellow
2025-04-22 13:33:31,26,52,609,1.2,905,green,green,green,green,yellow
2025-04-22 13:33:32,32,55,448,1.5,439,red,green,green,green,green
2025-04-22 13:33:33,25,47,875,5.1,918,green,green,yellow,yellow,yellow
2025-04-22 13:33:34,29,38,1285,5.3,1069,yellow,yellow,red,yellow,red
2025-04-22 13:33:35,21,45,1286,5,661,green,green,red,green,green
2025-04-22 13:33:36,31,35,503,0.2,716,red,yellow,green,green,green
2025-04-22 13:33:37,32,31,1148,4.3,797,red,red,red,green,green
2025-04-22 13:33:38,30,53,755,7.4,776,yellow,green,yellow,yellow,green
2025-04-22 13:33:39,32,44,666,5.8,259,red,yellow,green,yellow,green
2025-04-22 13:33:40,22,56,1153,4,1101,green,green,red,green,red
2025-04-22 13:33:41,34,60,1208,7.6,652,red,green,red,yellow,green
2025-04-22 13:33:42,34,32,1052,9.6,344,red,red,red,red,green
2025-04-22 13:33:43,29,43,700,1.6,1081,yellow,yellow,green,green,red
2025-04-22 13:33:44,22,69,488,3.1,532,green,green,green,green,green
2025-04-22 13:33:45,33,54,998,5,808,red,green,yellow,green,yellow
2025-04-22 13:33:46,26,57,696,1.2,376,green,green,green,green,green
2025-04-22 13:33:47,28,50,1075,1.5,363,yellow,green,red,green,green
2025-04-22 13:33:48,24,37,572,1.3,652,green,yellow,green,green,green
2025-04-22 13:33:49,20,48,883,0.5,383,green,green,yellow,green,green
2025-04-22 13:33:50,25,49,819,0.8,462,green,green,yellow,green,green
2025-04-22 13:33:51,25,34,717,8.8,459,green,red,yellow,red,green
2025-04-22 13:33:52,28,53,876,2.2,384,yellow,green,yellow,green,green
2025-04-22 13:33:53,33,48,626,5.7,925,red,green,green,yellow,yellow
2025-04-22 13:33:54,22,54,1291,4.1,1057,green,green,red,green,red
2025-04-22 13:33:55,20,67,1255,3.4,223,green,green,red,green,green
2025-04-22 13:33:56,25,47,770,8.9,533,green,green,yellow,red,green
2025-04-22 13:33:57,31,53,1087,4.4,278,red,green,red,green,green
