timestamp,temperature,humidity,co2,vibration,energy_usage,temp_status,hum_status,co2_status,vib_status,energy_status
2025-04-21 12:52:39,30,32,348,5.8,559,yellow,red,green,yellow,green
2025-04-21 12:52:40,27,50,334,3.3,218,green,green,green,green,green
2025-04-21 12:52:41,29,61,1001,2.8,293,yellow,green,red,green,green
2025-04-21 12:52:42,29,58,630,2.1,742,yellow,green,green,green,green
2025-04-21 12:52:43,23,63,695,5.5,662,green,green,green,yellow,green
2025-04-21 12:52:44,31,40,1247,8.9,502,red,yellow,red,red,green
2025-04-21 12:52:45,24,37,529,5.1,362,green,yellow,green,yellow,green
2025-04-21 12:52:46,32,34,443,7.8,318,red,red,green,yellow,green
2025-04-21 12:52:47,30,34,1267,1.5,907,yellow,red,red,green,yellow
2025-04-21 12:52:48,28,39,358,8.9,1000,yellow,yellow,green,red,yellow
2025-04-21 12:52:49,23,47,702,5.2,1016,green,green,yellow,yellow,red
2025-04-21 12:52:50,30,46,441,7.4,979,yellow,green,green,yellow,yellow
2025-04-21 12:52:51,33,44,1233,5.5,244,red,yellow,red,yellow,green
2025-04-21 12:52:52,21,59,1014,6,863,green,green,red,yellow,yellow
2025-04-21 12:52:53,28,61,518,7.5,569,yellow,green,green,yellow,green
2025-04-21 12:52:54,34,35,1187,4.2,286,red,yellow,red,green,green
2025-04-21 12:52:55,25,66,685,6.3,1091,green,green,green,yellow,red
2025-04-21 12:52:56,29,65,798,8.6,265,yellow,green,yellow,red,green
2025-04-21 12:52:57,30,54,663,4.4,458,yellow,green,green,green,green
2025-04-21 12:52:58,26,58,465,2.1,476,green,green,green,green,green
2025-04-21 12:52:59,30,44,684,4,1103,yellow,yellow,green,green,red
2025-04-21 12:53:00,34,44,1275,3.2,315,red,yellow,red,green,green
2025-04-21 12:53:01,30,38,636,3.1,1055,yellow,yellow,green,green,red
2025-04-21 12:53:02,23,40,1106,2.6,696,green,yellow,red,green,green
2025-04-21 12:53:03,29,60,741,8.2,1032,yellow,green,yellow,red,red
2025-04-21 12:53:04,30,60,1261,1.9,566,yellow,green,red,green,green
2025-04-21 12:53:05,33,44,705,9.4,930,red,yellow,yellow,red,yellow
2025-04-21 12:53:06,24,61,946,6.9,470,green,green,yellow,yellow,green
2025-04-21 12:53:07,29,38,1168,3.2,914,yellow,yellow,red,green,yellow
2025-04-21 12:53:08,29,64,736,7.6,203,yellow,green,yellow,yellow,green
2025-04-21 12:53:09,33,44,1008,3.1,256,red,yellow,red,green,green
2025-04-21 12:53:10,26,43,565,0.5,1131,green,yellow,green,green,red
2025-04-21 12:53:11,24,48,572,8.6,446,green,green,green,red,green
2025-04-21 12:53:12,24,58,1037,3.1,802,green,green,red,green,yellow
2025-04-21 12:53:13,27,37,1188,6.3,374,green,yellow,red,yellow,green
2025-04-21 12:53:14,27,57,1132,8.9,1083,green,green,red,red,red
2025-04-21 12:53:15,24,67,1213,2.4,613,green,green,red,green,green
2025-04-21 12:53:16,24,52,817,0.7,503,green,green,yellow,green,green
2025-04-21 12:53:17,25,45,965,6.8,597,green,green,yellow,yellow,green
2025-04-21 12:53:18,20,39,918,9.6,610,green,yellow,yellow,red,green
2025-04-21 12:53:19,22,57,757,6.1,901,green,green,yellow,yellow,yellow
2025-04-21 12:53:20,33,58,398,8.5,422,red,green,green,red,green
2025-04-21 12:53:21,27,51,933,9.4,1169,green,green,yellow,red,red
2025-04-21 12:53:22,32,68,507,6.6,719,red,green,green,yellow,green
2025-04-21 12:53:23,26,57,362,6.1,625,green,green,green,yellow,green
2025-04-21 12:53:24,25,63,1017,1.1,912,green,green,red,green,yellow
2025-04-21 12:53:25,28,37,1067,8.1,1015,yellow,yellow,red,red,red
2025-04-21 12:53:26,29,62,637,5.2,269,yellow,green,green,yellow,green
2025-04-21 12:53:27,25,65,856,6.2,908,green,green,yellow,yellow,yellow
2025-04-21 12:53:28,31,52,756,5.4,646,red,green,yellow,yellow,green
